_id,pin,address,billing_city,current_delq_tax,current_delq_pi,prior_years,prior_delq_tax,prior_delq_pi,state_description,neighborhood,council_district,ward,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
1978549,0032E00294000000,HORN ST,"PITTSBURGH, PA",55.35,0,0,0,0,Residential,,,,,,,,,
1978550,0033C00201000000,501 BROWNSVILLE RD,"ROCKVILLE, MD",24.27,0,0,0,0,Commercial,,,,,,,,,
1978551,0008D00020000002,412 E COMMONS,"PITTSBURGH, PA",16448.78,0,0,0,0,Commercial,Allegheny Center,1,22,1,22,1,1-6,-80.00240627879427,40.45130651885126
1978552,0008D00020000001,412 E COMMONS,"PITTSBURGH, PA",226.82,0,0,0,0,Commercial,Allegheny Center,1,22,1,22,1,1-6,-80.00285552081374,40.45122049816906
1978553,0008C00155000400,1 ALLEGHENY SQ,"PITTSBURGH, PA",4112.16,0,0,0,0,Commercial,Allegheny Center,1,22,1,22,1,1-6,-80.00582464304614,40.45180879533943
1978554,0007D00268858200,858 N LINCOLN AVE UNIT 2,"ALLISON PARK, PA",1029.24,0,0,0,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01614931787361,40.45125075757777
1978555,0007D00268085600,856 N LINCOLN AVE,"ALLISON PARK, PA",1029.24,0,0,0,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01610136274532,40.45121823803873
1978556,0008A00015000000,806 WESTERN AVE,"PITTSBURGH, PA",2826.61,0,0,0,0,Commercial,Allegheny West,1,22,1,22,1,1-7,-80.01446102145411,40.4524959171477
1978557,0007D00268858300,858 N LINCOLN AVE UNIT 3,"ALLISON PARK, PA",1029.24,0,0,0,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01611393833285,40.451257755067566
1978558,0007D00268858100,858 N LINCOLN AVE UNIT 1,"ALLISON PARK, PA",1029.24,0,0,0,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01613645746858,40.45121105533497
1978559,0022S00061000000,930 BEECH AVE,"PITTSBURGH, PA",6148.76,0,0,0,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.018189475749,40.452796285639515
1978560,0022S00108000000,909 W NORTH AVE,"PITTSBURGH, PA",499.37,0,0,0,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01741492984365,40.45325815441406
1978561,0007D00268856400,858 N LINCOLN AVE UNIT 4,"ALLISON PARK, PA",1029.24,0,0,0,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01614396356048,40.45129339800875
1978562,0007D00185000000,939 WESTERN AVE,"PITTSBURGH, PA",9566.96,0,0,0,0,Commercial,Allegheny West,1,22,1,22,1,1-7,-80.01792629151932,40.451445557135735
